2026-08-12 00:12:54 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 00:12:56 | INFO     | src.data_engine.news:get_company_news:28 - NVDA için 4 haber başlığı çekildi.
2026-08-12 00:12:59 | INFO     | src.risk_engine.portfolio:calculate_position:64 - ALAB için BALANCED risk hesabı tamamlandı: 14 Lot ($4367.86)
2026-08-12 00:13:00 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - ALAB için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 00:13:02 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 00:13:02 | INFO     | src.data_engine.news:get_company_news:28 - ALAB için 4 haber başlığı çekildi.
2026-08-12 00:15:42 | INFO     | src.risk_engine.portfolio:calculate_position:64 - MOD için BALANCED risk hesabı tamamlandı: 25 Lot ($4958.0)
2026-08-12 00:15:43 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - MOD için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 00:15:44 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 00:15:45 | INFO     | src.data_engine.news:get_company_news:28 - MOD için 4 haber başlığı çekildi.
2026-08-12 00:16:36 | INFO     | src.risk_engine.portfolio:calculate_position:64 - SIMO için BALANCED risk hesabı tamamlandı: 17 Lot ($3808.0)
2026-08-12 00:16:37 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - SIMO için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 00:16:38 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 00:16:39 | INFO     | src.data_engine.news:get_company_news:28 - SIMO için 4 haber başlığı çekildi.
2026-08-12 13:20:48 | INFO     | config.settings:<module>:53 - Yapılandırma dosyası (config) başarıyla yüklendi.
2026-08-12 13:21:28 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - NVDA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:30 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:31 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - AAPL için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:32 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:32 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - MSFT için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:33 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:34 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - MU için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:35 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:36 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - AMD için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:37 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:37 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - TSLA için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:38 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
2026-08-12 13:21:39 | INFO     | src.ai_engine.llm_client:generate_analysis:34 - PLTR için Groq (Llama 3.3 70B) analizi başlatılıyor...
2026-08-12 13:21:40 | INFO     | src.ai_engine.llm_client:generate_analysis:45 - Groq analizi başarıyla tamamlandı ve Pydantic ile doğrulandı.
